ORGANISM HABITAT	Number of occurrances	Classification
Soil	7883	n
Marine	4871	n
Host	3699	s
Human intestinal microflora|Host	469	s
Human feces	354	s
Soil|Host	338	s
Marine sediment	322	n
Human	285	s
Marine|Aquatic	284	n
Aquatic	281	n
Host|Human oral cavity	277	s
Sediment	251	n
Aquatic|Fresh water	234	n
Sea water	232	n
Host|Fresh water	199	s
Garden soil	188	n
Human stomach|Host	181	s
Hot spring	180	n
Host|Human skin	173	s
Human blood	165	s
Host|Human vaginal microflora	153	s
Host|Human airways	143	s
Air	142	n
Host|Human	133	s
Fresh water	132	n
Oral cavity	130	s
Soil|Host|Fresh water	127	s
Plants	127	s
Gastrointestinal tract	125	s
Forest soil	119	n
Hot spring|Aquatic	118	n
Soil|Host|Food|Fresh water	116	s
Root nodule|Soil|Host|Plant root	114	s
Host|Gastrointestinal tract|Feces	94	s
Soil|Rhizosphere	92	s
Sludge|Wastewater	91	n
Host|Human skin|Fresh water|Skin	82	s
Host|Oral cavity	79	s
Human intestinal microflora|Host|Gastrointestinal tract|Feces	78	s
Fermented food product	76	n
Host|Plant root	74	s
Aquatic|Brackish water|Fresh water	73	n
Root nodule	71	s
Rhizosphere	70	s
Marine|Aquatic|Sea water	69	n
Paddy	65	n
Mud	59	n
Marine|Sediment|Aquatic	52	n
Sediment|Aquatic|Fresh water	51	n
Soil|Fresh water	50	n
Human intestinal microflora|Host|Gastrointestinal tract|Human fecal|Feces	49	s
Host|Wastewater	48	s
Intestinal tract	46	s
Marine|Host	43	s
Intestinal tract|Host	42	s
Human sputum	42	s
Host|Bird	40	s
Sludge	39	n
Soil|Terrestrial	38	n
Human intestinal microflora|Host|Human fecal	37	s
Plants|Host	37	s
Hot spring|Aquatic|Fresh water	36	n
Root nodule|Host|Plant root	36	s
Intestinal tract|Soil|Host|Food|Fresh water	35	s
Sediment|Aquatic	35	n
Host|Gastrointestinal tract	34	s
Host|Nasopharyngeal microflora	34	s
Agricultural soil	33	n
Wastewater	32	n
Marine|Aquatic|Host	32	s
Aquatic|Ponds	32	n
Host|Insect endosymbiont|Endosymbiont	29	s
Host|Bovine	28	s
Host|Vagina	28	s
Compost	27	n
Host|Pig	26	s
Marine|Aquatic|Deep sea	25	n
Aquatic|Soil|Fresh water	25	n
Biofilm	25	n
Human stomach	25	s
Plant	24	s
Aquatic|Lake|Fresh water	23	n
Host|Blood	22	s
Host|Insect	22	s
Coral	22	s
Host|Sludge|Wastewater	21	s
Host|Urogenital tract	21	s
Aquatic|Soil	21	n
Host|Animal gastrointestinal tract	21	s
Intestinal tract|Host|Wastewater	20	s
Bioreactor	20	n
Insect gut	20	s
Human intestinal microflora|Human fecal	20	s
Marine|Sediment	19	n
Oil fields	19	n
Host|Human skin|Human airways	19	s
Food	19	n
Aquatic|Wastewater	19	n
Soil|Host|Rhizosphere	18	s
Host|Human nasopharyngeal microflora	18	s
Meat food product	18	n
Sediment|Hot spring|Aquatic	18	n
Host|Respiratory tract	17	s
Mud|Aquatic|Fresh water	17	n
Mud|Aquatic	17	n
Aquatic|Oil fields	17	n
Animal facility|Aquaculture|Animal gastrointestinal tract	17	s
Water	17	n
Seaweed	17	n
Aquatic|Host|Fresh water	16	s
Marine|Surface water	16	n
Groundwater	16	n
Host|Human fecal	16	s
Sand	16	n
Intestinal tract|Host|Gastrointestinal tract|Feces	15	s
Host|Rhizosphere-colonizing|Rhizosphere	15	s
Root nodule|Host	15	s
Plant surface|Soil	15	s
Aquatic|Host	15	s
Aquatic|Fresh water|Ponds	15	n
Dairy isolates	15	n
Human intestinal microflora	15	s
Host|Skin	14	s
Host|Insect endosymbiont	14	s
Mud|Soil|Sea water|Fresh water|Animal gastrointestinal tract	14	s
Vegetables|Fermented food product	14	n
Lake water	14	n
Marine|Hot spring|Aquatic|Hydrothermal vent	13	n
Host|Human oral cavity|Human	13	s
Root nodule|Soil|Rhizosphere	13	s
Human fecal	13	s
Bioreactor|Sludge	12	n
Host|Human skin|Skin	12	s
Host|Endosymbiont	12	s
Marine|Mud|Aquatic	12	n
Terrestrial	12	n
Hot spring|Fresh water	11	n
Plant symbiont|Soil|Host	11	s
Desert soil	11	n
Gastrointestinal tract|Feces	11	s
Feces	11	s
Marine|Sediment|Aquatic|Deep sea	10	n
Marine|Aquatic|Surface water	10	n
Birds intestinal microflora|Human intestinal microflora|Host|Mammalian gastrointestinal tract	10	s
Hot spring|Aquatic|Hydrothermal vent	10	n
Marine|Host|Fish	10	s
Honey bee Larva	10	s
Host|Human airways|Human upper respiratory tract	10	s
Wastewater treatment plant	10	n
Insect endosymbiont	10	s
Rumen	10	s
Plant symbiont|Host	10	s
Sediment|Fresh water	9	a
Marine|Hot spring|Aquatic|Hydrothermal vent|Deep sea	9	a
Marine|Aquatic|Fresh water	9	a
Beer	9	a
Sediment|Aquatic|Ponds	9	a
Gut	9	a
Human oral cavity	9	a
Cheese	9	a
Termite gut	9	a
Marine|Hot spring|Aquatic	8	a
Host|Bovine rumen	8	a
Milk	8	a
Sea sand	8	a
Host|Food	8	a
Gingival crevices|Host|Human oral cavity	8	a
Sludge|Wastewater treatment plant	8	a
Host|Oral cavity|Human oral cavity	8	a
Wetland	8	a
Rock	8	a
Fish	8	a
Lake	8	a
Mollusca	8	a
Sponge	8	a
Marine|Hot spring	7	a
Sediment|Soil	7	a
Soil|Normal microflora	7	a
Soil|Creosote-contaminated soil	7	a
Plants|Fruits	7	a
Human intestinal microflora|Host|Human oral cavity	7	a
Aquatic|Soda lakes	7	a
Sand|Soil	7	a
Soil|Wetland	7	a
Marine|Sediment|Fresh water	7	a
Soil|Host|Fresh water|Fresh meat|Biofilm	7	a
Host|Gastrointestinal tract|Human oral cavity	7	a
Plant root	7	a
Soil|Saline soil	7	a
Lung|Respiratory tract	7	a
Activated sludge	7	a
Sourdough	7	a
Silage	7	a
Aquifer|Contaminated aquifer|Groundwater	7	a
Coastal sea water	7	a
Saline lake	7	a
Host|Gastrointestinal tract|Feces|Wastewater	6	a
