mean	stddev	ks_statistic	ks_pvalue
42.945441	5.034604	0.007610	0.438800
0.642098	36.671145	0.008638	0.245100
-93.054126	62.967227	0.008584	0.249300
84.361749	25.934310	0.005278	0.930000
-82.909485	65.718121	0.007798	0.399200
-18.796444	12.926315	0.004352	0.992200
47.575406	32.386107	0.005115	0.951200
-47.862645	87.326560	0.008035	0.352100
80.989347	43.562014	0.006853	0.613900
-78.163690	21.931708	0.006908	0.600300
46.177806	17.981230	0.009975	0.091900
-82.053768	14.065969	0.008355	0.285400
-65.779288	62.378926	0.006275	0.752200
89.834655	33.992250	0.006337	0.738900
-58.970466	44.310736	0.008626	0.246300
-84.107595	21.889255	0.007257	0.524000
78.503694	30.116873	0.009510	0.140600
84.729207	66.963083	0.008226	0.314000
80.927190	89.519568	0.007786	0.399800
-94.003108	14.112820	0.010093	0.088500
95.954702	12.010082	0.005706	0.869700
76.134047	54.005429	0.008176	0.311600
-48.431970	78.888691	0.006338	0.730500
-46.046941	90.709911	0.007773	0.394900
7.888946	27.042297	0.009610	0.131700
-16.955249	68.813978	0.008770	0.218800
-98.121339	22.217754	0.008937	0.203000
65.691367	45.990712	0.008960	0.194800
21.191218	62.403291	0.010401	0.073400
-26.299091	87.284868	0.008862	0.207800
8.439365	77.125124	0.008527	0.266500
-51.550198	31.026474	0.007028	0.577100
75.066777	96.442922	0.010457	0.068600
47.354008	77.605722	0.007901	0.377900
-14.886696	43.282899	0.005630	0.879100
2.890411	98.001246	0.006153	0.783400
10.219744	80.822623	0.005732	0.860200
92.983502	12.942333	0.006993	0.581600
52.982033	96.619109	0.005155	0.942800
-65.437829	26.012274	0.008713	0.232300
84.596929	45.079180	0.006727	0.650400
-22.093849	30.696181	0.007810	0.399900
55.415951	93.659501	0.007377	0.493000
-86.429450	92.933350	0.007360	0.501200
8.878182	81.873573	0.005825	0.840500
88.886336	94.628450	0.009690	0.114700
59.137793	99.742758	0.005751	0.857100
-33.243877	68.807898	0.005750	0.864100
78.780731	94.135899	0.010582	0.059200
-88.838018	14.153706	0.007738	0.423200
63.551020	93.107592	0.006325	0.742100
62.801701	54.329985	0.012807	0.008700
85.795006	79.903982	0.004597	0.983800
-50.764985	41.558959	0.008927	0.200700
-73.890455	54.000993	0.009906	0.099800
99.314534	22.055511	0.005444	0.910700
59.969851	37.802227	0.008358	0.283100
21.406060	84.518534	0.006404	0.717700
75.000000	0.000000	nan	0.000100
32.235293	49.973475	0.008435	0.280300
-66.111161	80.176200	0.008508	0.260600
-29.186193	53.937328	0.007294	0.513500
6.195273	55.978376	0.007533	0.451100
18.687442	81.373793	0.008168	0.319700
-11.026415	58.519518	0.009758	0.116100
50.589382	67.889017	0.006598	0.673600
42.658025	84.941676	0.006076	0.797400
-40.155537	35.812748	0.007543	0.441600
38.964078	51.742267	0.012272	0.013800
-65.792707	16.871124	0.012579	0.009800
-31.639609	42.212300	0.008789	0.225700
42.421711	68.828367	0.009484	0.140300
-29.961492	70.320894	0.008698	0.238900
-16.655552	76.875875	0.007204	0.540800
-89.029612	3.941587	0.006741	0.637000
45.817575	61.096845	0.007201	0.530700
-31.168582	71.855385	0.007658	0.431600
-57.078541	13.190498	0.006416	0.728100
-89.263502	88.835769	0.005662	0.876600
-49.593325	47.011102	0.009840	0.108800
-42.942079	93.243549	0.005762	0.854300
11.014830	74.514014	0.009070	0.181400
1.095166	16.143802	0.006879	0.606600
-68.999392	3.007058	0.006872	0.615100
-47.968652	50.378982	0.009328	0.151200
-82.543798	43.793506	0.006188	0.769700
-3.853649	68.114336	0.008399	0.288000
69.948383	16.059702	0.011270	0.032400
49.544301	88.107262	0.011631	0.024000
26.011060	5.004049	0.005896	0.834800
64.563925	81.470442	0.004916	0.966400
-81.251225	87.512890	0.007586	0.444200
-51.273409	20.941137	0.008678	0.241500
-93.002236	65.271586	0.006632	0.670700
17.054225	26.111186	0.008217	0.316400
14.857430	76.670231	0.008344	0.298500
90.056760	97.205180	0.005015	0.955800
-23.994365	81.641701	0.008362	0.288100
-31.134021	4.922233	0.006822	0.624100
-14.118922	47.933603	0.005766	0.856600
