name,NcbiTaxonomyID,habitat,hostid,hostname
Chlamydia trachomatis D/UW-3/CX,272561,HostAssociated,9606,Homo sapiens
Thermotoga maritima MSB8,243274,Specialized,0,NA
Aeropyrum pernix K1,272557,Specialized,0,NA
Pyrococcus abyssi GE5,272844,Aquatic,0,NA
Haemophilus influenzae Rd KW20,71421,HostAssociated,9606,Homo sapiens
Mycoplasma genitalium G37,243273,HostAssociated,9606,Homo sapiens
Methanocaldococcus jannaschii DSM 2661,243232,Aquatic,0,NA
Synechocystis sp. PCC 6803,1148,Aquatic,0,NA
Mycoplasma pneumoniae M129,272634,HostAssociated,9606,Homo sapiens
Escherichia coli str. K-12 substr. MG1655,511145,HostAssociated,9606,Homo sapiens
Sinorhizobium fredii NGR234,394,HostAssociated,0,NA
Helicobacter pylori 26695,85962,HostAssociated,9606,Homo sapiens
Methanothermobacter thermautotrophicus str. Delta H,187420,Specialized,0,NA
Archaeoglobus fulgidus DSM 4304,224325,Aquatic,0,NA
Aquifex aeolicus VF5,0,Specialized,0,NA
Treponema pallidum subsp. pallidum str. Nichols,243276,HostAssociated,9606,Homo sapiens
Helicobacter pylori J99,85963,HostAssociated,9606,Homo sapiens
Chlamydophila pneumoniae CWL029,115713,HostAssociated,9606,Homo sapiens
Borrelia burgdorferi B31,224326,HostAssociated,9606,Homo sapiens
Deinococcus radiodurans R1,243230,Terrestrial,0,NA
Pyrococcus horikoshii OT3,70601,Aquatic,0,NA
Mycobacterium tuberculosis H37Rv,83332,HostAssociated,9606,Homo sapiens
Rickettsia prowazekii str. Madrid E,272947,HostAssociated,9606,Homo sapiens
Bacillus subtilis subsp. subtilis str. 168,224308,Terrestrial,0,NA
Halobacterium sp. NRC-1,64091,Specialized,0,NA
Clostridium acetobutylicum ATCC 824,272562,Multiple,0,NA
Escherichia coli O157:H7 str. Sakai,386585,HostAssociated,9606,Homo sapiens
Ureaplasma parvum serovar 3 str. ATCC 700970,273119,HostAssociated,9606,Homo sapiens
Campylobacter jejuni subsp. jejuni NCTC 11168,192222,Multiple,9606,Homo sapiens
Chlamydophila pneumoniae AR39,115711,NA,0,NA
Chlamydia muridarum Nigg,243161,HostAssociated,9606,Homo sapiens
Buchnera aphidicola str. APS (Acyrthosiphon pisum),107806,HostAssociated,34664,Acyrthosiphon kondoi
Xylella fastidiosa 9a5c,160492,HostAssociated,0,NA
Chlamydophila pneumoniae J138,138677,HostAssociated,9606,Homo sapiens
Vibrio cholerae O1 biovar El Tor str. N16961,243277,Aquatic,9606,Homo sapiens
Pseudomonas aeruginosa PAO1,208964,Multiple,9606,Homo sapiens
Bacillus halodurans C-125,272558,Multiple,0,NA
Thermoplasma acidophilum DSM 1728,273075,Specialized,0,NA
Escherichia coli O157:H7 str. EDL933,155864,HostAssociated,9606,Homo sapiens
Lactococcus lactis subsp. lactis Il1403,272623,Multiple,0,NA
Pasteurella multocida subsp. multocida str. Pm70,272843,HostAssociated,9606,Chicken Homo sapiens
Mycobacterium leprae TN,272631,HostAssociated,9606,Homo sapiens
Mesorhizobium loti MAFF303099,266835,Multiple,47247,Lotus corniculatus
