	database	name	environmental_metadata	hostID	metadata_classification	study_citation	study_classification	refseq_accession	symbiont	T3SS	T4SS	T6SS	database_result	T3SS_result	T4SS_result	T6SS_result	symbiont_result	at_least_1_SS_result	db_T3SS_result	db_T4SS_result	db_T6SS_result	db_symbiont_result	db_at_least_1_SS_result
0	BacMap	Candidatus Phytoplasma mali	HostAssociated	0	s	"""Kube M, Schneider B, Kuhl H, Dandekar T, Heitmann K, Migdoll AM, Reinhardt R, Seemüller E. The linear chromosome of the plant-pathogenic mycoplasma 'Candidatus Phytoplasma mali'. BMC Genomics. 2008 Jun 26;9:306. doi: 10.1186/1471-2164-9-306. PMID: 18582369; PMCID: PMC2459194."""	s	GCF_000026205.1	+	n.c.	-	n.c.	TP	A	FN	A	TP	FN	TP	TP	TP	TP	TP
1	BacMap	Streptococcus agalactiae 2603V/R	HostAssociated	9606	s	"""Tettelin H, Masignani V, Cieslewicz MJ, Eisen JA, Peterson S, Wessels MR, Paulsen IT, Nelson KE, Margarit I, Read TD, Madoff LC, Wolf AM, Beanan MJ, Brinkac LM, Daugherty SC, DeBoy RT, Durkin AS, Kolonay JF, Madupu R, Lewis MR, Radune D, Fedorova NB, Scanlan D, Khouri H, Mulligan S, Carty HA, Cline RT, Van Aken SE, Gill J, Scarselli M, Mora M, Iacobini ET, Brettoni C, Galli G, Mariani M, Vegni F, Maione D, Rinaudo D, Rappuoli R, Telford JL, Kasper DL, Grandi G, Fraser CM. Complete genome sequence and comparative genomic analysis of an emerging human pathogen, serotype V Streptococcus agalactiae. Proc Natl Acad Sci U S A. 2002 Sep 17;99(19):12391-6. doi: 10.1073/pnas.182380799. Epub 2002 Aug 28. PMID: 12200547; PMCID: PMC129455."""	s	GCF_000007265.1	-	n.c.	+	n.c.	TP	A	TP	A	FN	TP	TP	TP	TP	TP	TP
2	BacMap	Rhizobium leguminosarum bv. viciae 3841	HostAssociated	3888	s	"""Young JP, Crossman LC, Johnston AW, Thomson NR, Ghazoui ZF, Hull KH, Wexler M, Curson AR, Todd JD, Poole PS, Mauchline TH, East AK, Quail MA, Churcher C, Arrowsmith C, Cherevach I, Chillingworth T, Clarke K, Cronin A, Davis P, Fraser A, Hance Z, Hauser H, Jagels K, Moule S, Mungall K, Norbertczak H, Rabbinowitsch E, Sanders M, Simmonds M, Whitehead S, Parkhill J. The genome of Rhizobium leguminosarum has recognizable core and accessory components. Genome Biol. 2006;7(4):R34. doi: 10.1186/gb-2006-7-4-r34. Epub 2006 Apr 26. PMID: 16640791; PMCID: PMC1557990."""	s	GCF_000009265.1	-	n.d.	+	+	TP	A	TP	TP	FN	TP	TP	TP	TP	TP	TP
3	BacMap	Tropheryma whipplei TW08/27	HostAssociated	0	s	"""Bentley SD, Maiwald M, Murphy LD, Pallen MJ, Yeats CA, Dover LG, Norbertczak HT, Besra GS, Quail MA, Harris DE, von Herbay A, Goble A, Rutter S, Squares R, Squares S, Barrell BG, Parkhill J, Relman DA. Sequencing and analysis of the genome of the Whipple's disease bacterium Tropheryma whipplei. Lancet. 2003 Feb 22;361(9358):637-44. doi: 10.1016/S0140-6736(03)12597-4. PMID: 12606174."""	s	GCF_000196075.1	+	n.c.	-	n.c.	TP	A	FN	A	TP	FN	TP	TP	TP	TP	TP
4	BacMap	Mannheimia succiniciproducens MBEL55E	HostAssociated	0	s	"""Hong SH, Kim JS, Lee SY, In YH, Choi SS, Rih JK, Kim CH, Jeong H, Hur CG, Kim JJ. The genome sequence of the capnophilic rumen bacterium Mannheimia succiniciproducens. Nat Biotechnol. 2004 Oct;22(10):1275-81. doi: 10.1038/nbt1010. Epub 2004 Sep 19. Erratum in: Nat Biotechnol. 2004 Dec;22(12):1589. PMID: 15378067."""	s	GCF_000007745.1	-	-	-	-	TP	FN	FN	FN	FN	FN	TP	TP	TP	TP	TP
5	BacMap	Vibrio parahaemolyticus RIMD 2210633	Aquatic	9606	s	Guerrero, A., Lizárraga-Partida, M. L., Gómez Gil Rodríguez, B., Licea-Navarro, A. F., Revilla-Castellanos, V. J., Wong-Chang, I., & González-Sánchez, R. (2017). Genetic Analysis of Vibrio parahaemolyticus O3:K6 Strains That Have Been Isolated in Mexico Since 1998. PloS one, 12(1), e0169722. https://doi.org/10.1371/journal.pone.0169722	s	GCF_000196095.1	-	+	-	+	TP	TP	FN	TP	FN	TP	TP	TP	TP	TP	TP
6	BacMap	Chlamydophila caviae GPIC	HostAssociated	0	s	"""Read TD, Myers GS, Brunham RC, Nelson WC, Paulsen IT, Heidelberg J, Holtzapple E, Khouri H, Federova NB, Carty HA, Umayam LA, Haft DH, Peterson J, Beanan MJ, White O, Salzberg SL, Hsia RC, McClarty G, Rank RG, Bavoil PM, Fraser CM. Genome sequence of Chlamydophila caviae (Chlamydia psittaci GPIC): examining the role of niche-specific genes in the evolution of the Chlamydiaceae. Nucleic Acids Res. 2003 Apr 15;31(8):2134-47. doi: 10.1093/nar/gkg321. PMID: 12682364; PMCID: PMC153749."""	s	GCF_000007605.1	+	+	-	-	TP	TP	FN	FN	TP	TP	TP	TP	TP	TP	TP
7	BacMap	Chlamydia muridarum Nigg	HostAssociated	9606	s	"""Riley MM, Zurenski MA, Frazer LC, O'Connell CM, Andrews CW Jr, Mintus M, Darville T. The recall response induced by genital challenge with Chlamydia muridarum protects the oviduct from pathology but not from reinfection. Infect Immun. 2012 Jun;80(6):2194-203. doi: 10.1128/IAI.00169-12. Epub 2012 Mar 19. PMID: 22431649; PMCID: PMC3370586."""	s	GCF_000006685.1	+	+	-	-	TP	TP	FN	FN	TP	TP	TP	TP	TP	TP	TP
8	BacMap	Bordetella pertussis Tohama I	HostAssociated	0	s	"""Holubova J, Stanek O, Juhasz A, Hamidou Soumana I, Makovicky P, Sebo P. The Fim and FhaB adhesins play a crucial role in nasal cavity infection and Bordetella pertussis transmission in a novel mouse catarrhal infection model. PLoS Pathog. 2022 Apr 8;18(4):e1010402. doi: 10.1371/journal.ppat.1010402. PMID: 35395059; PMCID: PMC9020735."""	s	GCF_000195715.1	-	+	+	-	TP	TP	TP	FN	FN	TP	TP	TP	TP	TP	TP
9	BacMap	Mycoplasma hyopneumoniae 7448	HostAssociated	9823	s	"""Vasconcelos AT, Ferreira HB, Bizarro CV, Bonatto SL, Carvalho MO, Pinto PM, Almeida DF, Almeida LG, Almeida R, Alves-Filho L, Assunção EN, Azevedo VA, Bogo MR, Brigido MM, Brocchi M, Burity HA, Camargo AA, Camargo SS, Carepo MS, Carraro DM, de Mattos Cascardo JC, Castro LA, Cavalcanti G, Chemale G, Collevatti RG, Cunha CW, Dallagiovanna B, Dambrós BP, Dellagostin OA, Falcão C, Fantinatti-Garboggini F, Felipe MS, Fiorentin L, Franco GR, Freitas NS, Frías D, Grangeiro TB, Grisard EC, Guimarães CT, Hungria M, Jardim SN, Krieger MA, Laurino JP, Lima LF, Lopes MI, Loreto EL, Madeira HM, Manfio GP, Maranhão AQ, Martinkovics CT, Medeiros SR, Moreira MA, Neiva M, Ramalho-Neto CE, Nicolás MF, Oliveira SC, Paixão RF, Pedrosa FO, Pena SD, Pereira M, Pereira-Ferrari L, Piffer I, Pinto LS, Potrich DP, Salim AC, Santos FR, Schmitt R, Schneider MP, Schrank A, Schrank IS, Schuck AF, Seuanez HN, Silva DW, Silva R, Silva SC, Soares CM, Souza KR, Souza RC, Staats CC, Steffens MB, Teixeira SM, Urmenyi TP, Vainstein MH, Zuccherato LW, Simpson AJ, Zaha A. Swine and poultry pathogens: the complete genome sequences of two strains of Mycoplasma hyopneumoniae and a strain of Mycoplasma synoviae. J Bacteriol. 2005 Aug;187(16):5568-77. doi: 10.1128/JB.187.16.5568-5577.2005. PMID: 16077101; PMCID: PMC1196056."""	s	GCF_000008225.1	+	n.c.	-	n.c.	TP	A	FN	A	TP	FN	TP	TP	TP	TP	TP
