domainid	n	non_zero_counts	min_count	max_count	mean	stddev	kurtosis	skew	ks_test_statistic	ks_test_pvalue	norm_log_statistic	norm_log_pvalue	norm_sqrt_statistic	norm_sqrt_pvalue	norm_cbrt_statistic	norm_cbrt_pvalue	norm_yeojohnson_statistic	norm_yeojohnson_pvalue	yeojohnson_lmbda
PF00001	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00002	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00003	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00004	7059	7056	0	31	8.577561	3.030194	3.023453	1.308662	0.157953	0.000100	0.104723	0.000100	0.129422	0.000100	0.118353	0.000100	0.101112	0.000100	-0.060979
PF00005	7059	7059	4	306	78.024933	44.414198	1.752746	1.205095	0.097059	0.000100	0.048052	0.000100	0.056113	0.000100	0.054555	0.000100	0.049148	0.000100	0.064023
PF00006	7059	7057	0	13	3.959626	1.198614	2.253240	1.085070	0.249846	0.000100	0.202634	0.000100	0.220100	0.000100	0.210377	0.000100	0.196253	0.000100	-0.141504
PF00007	7059	1	0	1	0.000142	0.011901	7054.000142	84.000001	0.504607	0.000100	0.504607	0.000100	0.504607	0.000100	0.504607	0.000100	0.504607	0.000100	-110.420068
PF00008	7059	31	0	4	0.005383	0.092037	773.135874	24.172949	0.518927	0.000100	0.521090	0.000100	0.521494	0.000100	0.521853	0.000100	0.522083	0.000100	-76.500231
PF00009	7059	7059	1	15	7.570477	1.648521	0.582940	0.497043	0.170118	0.000100	0.136811	0.000100	0.152181	0.000100	0.145340	0.000100	0.151134	0.000100	0.391285
PF00010	7059	0	0	0	0.000000	0.000000	nan	nan	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	nan	0.000100	1.000000
PF00011	7059	5964	0	13	1.834962	1.557362	4.457918	1.664746	0.222644	0.000100	0.186948	0.000100	0.229476	0.000100	0.304413	0.000100	0.183160	0.000100	0.046448
PF00012	7059	7024	0	51	2.413373	2.365994	70.135532	5.798025	0.270186	0.000100	0.246484	0.000100	0.223627	0.000100	0.231393	0.000100	0.267076	0.000100	-0.831137
PF00013	7059	6641	0	5	1.336025	0.594272	-0.321927	-0.093762	0.324242	0.000100	0.278544	0.000100	0.321528	0.000100	0.381839	0.000100	0.327468	0.000100	1.084149
